_id,name,rarity,carry_capacity,buy,sell,description,icon_name,icon_color,account
1362,Molten Bursa,8,99,63000,6300,"A fully-developed bursa carved from a strong Glavenus. Can't even be lightly scorched, ever.",icon_sac,1,0
1363,Glavenus Plate,5,99,48500,4850,"A sharp scale that grows near the Glavenus's tail, it has the same role -- a short blade.",icon_scale,1,0
1364,Glavenus Fire Orb,7,99,97000,9700,A red orb that grows within a flaming bursa. One peek can set even your soul aflame.,icon_monster_jewel,1,0
1365,Glavenus Pallium,9,99,145500,14550,A legendary Glavenus scale. Those who craft it rule the earth and seize the sky.,icon_mantle,1,0
1366,Hyper Glavenus Scale,6,99,19800,1980,"Darker than normal Glavenus scales, this Hyper scale emits an ominous glow.",icon_scale,1,0
1367,Hyper Glavenus Scale X,8,99,59400,5940,"Darker than normal Glavenus scales, this Hyper scale emits a steady, ominous glow.",icon_scale,1,0
1368,Hellblade Scale,6,99,7700,770,A Hellblade Glavenus scale. Explodes violently if not handled with care.,icon_scale,14,0
1369,Hellblade Scale+,7,99,23100,2310,A superior Hellblade Glavenus scale. Explodes violently if not handled with care.,icon_scale,14,0
1370,Hellblade Shard,9,99,69300,6930,A Hellblade Glavenus scale. A thoughtless slip with it will reduce the surrounding land to rubble.,icon_scale,14,0
1371,Hellblade Shell,6,99,10900,1090,A shell taken from a Hellblade Glavenus. Explodes violently if not handled with care.,icon_shell,14,0
1372,Hellblade Carapace,7,99,32700,3270,A hard Hellblade Glavenus shell. Explodes violently if not handled with care.,icon_shell,14,0
1373,Hellblade Cortex,9,99,98100,9810,"A hard Hellblade Glavenus shell. Handled carelessly, it can reduce the world to eternal wasteland.",icon_shell,14,0
1374,Hellblade Powder,6,99,15400,1540,Powder taken from a Hellblade Glavenus. Explodes violently if not handled with care.,icon_sac,14,0
1375,Tigrex Scale,4,99,5200,520,Scale from the incredibly violent Tigrex. Incredibly massive and sturdy.,icon_scale,4,0
1376,Tigrex Scale+,6,99,15600,1560,A flawless Tigrex scale. Can be fastened with others to become harder than steel.,icon_scale,4,0
1377,Tigrex Shard,8,99,46800,4680,A thick Tigrex scale. Made to withstand both the searing heat and the shivering cold.,icon_scale,4,0
1378,Tigrex Shell,4,99,7500,750,A hard Tigrex shell capable of repelling any impact. Extreme tenacity.,icon_shell,4,0
1379,Tigrex Carapace,6,99,22500,2250,A material hardened by the sands of time. Sharp edges show the Tigrex's ferocity.,icon_shell,4,0
1380,Tigrex Cortex,8,99,67500,6750,A heavy Tigrex shell. Even the terrible forces of nature cannot penetrate it.,icon_shell,4,0
1381,Tigrex Tail,4,99,12500,1250,This flexible and strong tail can make great equipment.,icon_carapace,4,0
1382,Tigrex Lash,8,99,75000,7500,A top-grade tail from a violent Tigrex. Requires a veteran artisan's skill and experience.,icon_carapace,4,0
1383,Tigrex Claw,4,99,7000,700,A vicious foreclaw unique to the Tigrex. Other flying wyverns do not have it.,icon_fang,4,0
1384,Tigrex Claw+,6,99,21000,2100,A claw that time has sharpened into a horrible death sentence for prey.,icon_fang,4,0
1385,Tigrex Hardclaw,8,99,63000,6300,A highly durable Tigrex claw. Tempered by the flesh and blood of its prey.,icon_fang,4,0
1386,Tigrex Fang,4,99,6000,600,A terrifying fang used to crush prey. Makes all who see it quiver in fear.,icon_fang,4,0
1387,Tigrex Fang+,6,99,18000,1800,The sharp fang of a Tigrex. These fangs can cut any prey to shreds.,icon_fang,4,0
1388,Tigrex Hardfang,8,99,54000,5400,"A thick, large Tigrex fang that tore prey into unrecognizable pieces.",icon_fang,4,0
1389,Tigrex Scalp,5,99,23000,2300,"Part of the head of a violent Tigrex. Looks terrifying, as if it is still alive.",icon_carapace,4,0
1390,Tigrex Maw,7,99,68000,6800,"The awe-inspiring jaws of a Tigrex, ready to crush both bone and spirit.",icon_carapace,4,0
1391,Tigrex Mantle,9,99,150000,15000,A phantasmal scale of a Tigrex. Those who craft it rule the earth and seize the sky.,icon_mantle,4,0
1392,Hyper Tigrex Scale,6,99,18700,1870,"Darker than normal Tigrex scales, this Hyper scale emits an ominous glow.",icon_scale,4,0
1393,Hyper Tigrex Scale X,8,99,56100,5610,"Darker than normal Tigrex scales, this Hyper scale emits a steady, ominous glow.",icon_scale,4,0
1394,Grimclaw Scale,6,99,7300,730,A Grimclaw Tigrex scale. Dark and thickly layered. Features exceptional hardness.,icon_scale,3,0
1395,Grimclaw Scale+,7,99,21900,2190,A superior Grimclaw Tigrex scale. A scale of the highest quality.,icon_scale,3,0
1396,Grimclaw Shard,9,99,65700,6570,A scale from a Grimclaw Tigrex. Even the dark inner layers are exceptionally hard.,icon_scale,3,0
1397,Grimclaw Shell,6,99,10500,1050,A Grimclaw Tigrex shell. You can see the thick blue blood vessels pulsating on its exterior.,icon_shell,3,0
1398,Grimclaw Carapace,7,99,31500,3150,You can see the blue blood vessels pulsating on the exterior of the shell.,icon_shell,3,0
1399,Grimclaw Cortex,9,99,94500,9450,You can see the blue blood vessels pulsating violently on the shell's exterior.,icon_shell,3,0
1400,Grimclaw Talon,6,99,9800,980,A talon from a Grimclaw Tigrex. It's as frightening and deadly as it looks.,icon_fang,15,0
1401,Grimclaw Talon+,7,99,29400,2940,A quality talon from a Grimclaw Tigrex. It's as frightening and deadly as it looks.,icon_fang,15,0
1402,Grimclaw Hardclaw,9,99,88200,8820,This high-quality Grimclaw Tigrex claw is the embodiment of ferocity.,icon_fang,15,0
1403,Seregios Bladescale,4,99,4900,490,A dangerous scale that opens at the tip to viscerally attack the beast's foes.,icon_scale,4,0
1404,Seregios Slavescale,6,99,14700,1470,A sharp scale the Seregios can make stand on end. Gouges anything it touches.,icon_scale,4,0
1405,Seregios Slavescale+,8,99,44100,4410,A sharp scale that stands on end as its master angers and rips prey to awful pieces.,icon_scale,4,0
1406,Airblade Shard,4,99,6500,650,"A fragment from a Seregios's Airblade. Despite its small size, it shouldn't be underestimated.",icon_scale,4,0
1407,Seregios Airblade,6,99,19500,1950,A blade shot from the body and carried on the wind toward unsuspecting hunters.,icon_scale,4,0
1408,Seregios Airblade+,8,99,58500,5850,One of a seemingly limitless supply of wild blades shot at any who dare approach.,icon_scale,4,0
1409,Seregios Talon,4,99,8500,850,The hard and sharp talon of a Seregios. It is capable of tearing most armor to shreds.,icon_fang,4,0
1410,Seregios Carver,6,99,25500,2550,Hooked hind leg talons that tear through armor and flesh without mercy.,icon_fang,4,0
1411,Seregios Carver+,8,99,76500,7650,"Hooked talons that strike like lightning, sharp enough to rend the very air.",icon_fang,4,0
1412,Seregios Impaler,4,99,8000,800,A spear-like tail covered in blade-like scales. Capable of truly horrific things.,icon_carapace,4,0
1413,Seregios Impaler+,8,99,72000,7200,"A spear-like tail so hard and sharp, it passes through prey as if they were air.",icon_carapace,4,0
1414,Seregios Sunderer,4,99,7000,700,"The horn from a Seregios. Sturdy yet agile as a blade, it is perfect for crafting them.",icon_fang,4,0
1415,Seregios Breacher,6,99,21000,2100,"A sharp horn like a hefty axe that, not surprisingly, makes for fine equipment.",icon_fang,4,0
1416,Seregios Breacher+,8,99,63000,6300,"A sharp, robust horn with ripples as lovely as those in the most famed blades.",icon_fang,4,0
1417,Seregios Wingtalon,4,99,6000,600,A talon that grows on the wing of a Seregios. Enables superior flight and handling capabilities.,icon_fang,4,0
1418,Seregios Scraper,6,99,18000,1800,A wing talon. Most attacks come from the hind legs; the wings serve to shift weight.,icon_fang,4,0
1419,Seregios Scraper+,8,99,54000,5400,A sharp wing talon. This fine specimen is as good a material as a hindleg claw.,icon_fang,4,0
1420,Seregios Dissenter,7,99,97000,9700,A single scale that points defiantly in a different direction from its brethren.,icon_scale,4,0
1421,Seregios Lens,9,99,150000,15000,A rare pearl formed inside the body. Said to reveal invisible truths.,icon_mantle,4,0
1422,Hyper Seregios Scale,6,99,17600,1760,"Darker than normal Seregios scales, this Hyper scale emits an ominous glow.",icon_scale,4,0
1423,Hyper Seregios Scale X,8,99,52800,5280,"Darker than normal Seregios scales, this Hyper scale emits a steady, ominous glow.",icon_scale,4,0
1424,Diablos Carapace,6,99,19500,1950,A sturdy Diablos carapace. Even harder than a normal Diablos Shell.,icon_shell,11,0
1425,Diablos Cortex,8,99,58500,5850,"The rigid cortex of a Diablos, both harder and sturdier than its carapace.",icon_shell,11,0
1426,Diablos Ridge+,6,99,40200,4020,The hardest part of a Diablos's backplate. Very difficult to carve off.,icon_carapace,11,0
1427,Diablos Chine,8,99,75000,7500,"Tough Diablos backplate, strengthened by burning sands. An ideal material for armor.",icon_carapace,11,0
1428,Twisted Horn,6,99,24000,2400,A twisted Diablos horn. Used in this region for many (less twisted) purposes.,icon_fang,11,0
1429,Majestic Horn,6,99,72000,7200,A twisted Diablos horn in great shape. Use it to make more powerful weapons.,icon_fang,11,0
1430,Diablos Hardhorn,9,99,115200,11520,An especially elegant Diablos horn with almost perfect shape. An extremely rare material.,icon_fang,11,0
1431,Diablos Fang,6,99,19500,1950,"A large, sturdy fang used in everything from weapons to ornaments.",icon_fang,11,0
1432,Diablos Tailcase,6,99,38400,3840,An armored tailcase that puts iron hammers to shame. This material is a keeper.,icon_carapace,11,0
1433,Diablos Tailcase+,8,99,76800,7680,A tailcase heavy enough to bend a steel hammer. Unimaginably powerful.,icon_carapace,11,0
1434,Blos Medulla,7,99,63000,6300,"A rare medulla. Difficult to remove, but of great interest to researchers.",icon_carapace,1,0
1435,Hyper Diablos Cortex,8,99,70200,7020,"Darker than normal Diablos shell, this Hyper shell emits a steady, ominous glow.",icon_shell,11,0
1436,Bloodbath Cortex,9,99,81900,8190,A Bloodbath Diablos hard outer shell. It wears the scars of previous battles with honor.,icon_shell,15,0
1437,Bloodbath Chine,9,99,105000,10500,A Bloodbath Diablos carapace. Tempered thoroughly by the blows of brave warriors.,icon_carapace,15,0
1438,Bloodbath Grimhorn,9,99,108000,10800,A Bloodbath Diablos horn. Vile enough to recall the tragedies the beast has caused.,icon_fang,14,0
1439,Gore Magala Scale,4,99,5400,540,A black scale artisans fear because of the ill fortune said to surround it.,icon_scale,10,0
1440,Gore Magala Scale+,6,99,12900,1290,"A deep black scale that seems to devour surrounding light, not reflect it.",icon_scale,10,0
1441,Gore Magala Shard,8,99,38700,3870,"A quality scale whose jet black, lusterless surface bewitches unwary beholders.",icon_scale,10,0
1442,Gore Magala Shell,4,99,4200,420,"The Gore Magala's outer shell, said to eat the flesh of half-hearted attackers.",icon_shell,10,0
1443,Gore Magala Carapace,6,99,11500,1150,"The Gore Magala's handsome black suit of armor, said to negate all blows.",icon_shell,10,0
1444,Gore Magala Cortex,8,99,34500,3450,"A heavy, dark carapace which offers solid equipment, but no guarantees of sanity.",icon_shell,10,0
1445,Gore Magala Wing,4,99,9800,980,"A writhing, jet black flight organ almost too hideous to be called a ""wing.""",icon_carapace,10,0
1446,Gore Magala Wing+,6,99,21000,2100,A horrifying wing that casts a hungry shadow over prey and drives them insane.,icon_carapace,10,0
1447,Gore Magala Eclipse,8,99,63000,6300,"Calamitous wings that go unseen in the night, sowing disease and reaping death.",icon_carapace,10,0
1448,Antinomic Wing,8,99,81900,8190,A strange harmony between darkness and rainbow light peeking between the bones.,icon_carapace,10,0
1449,Gore Magala Ripclaw,4,99,6800,680,"A menacing claw that carves beautiful, indelible curves through soft, pink flesh.",icon_fang,10,0
1450,Gore Magala Ripclaw+,6,99,15800,1580,A claw from a third foreleg that inflicts Frenzy and generations of suffering.,icon_fang,10,0
1451,Gore Magala Shredder,8,99,47400,4740,"A grotesque claw that sows madness. Some Smithies shun it, fearing infection.",icon_fang,10,0
1452,Gore Magala Tail,4,99,11000,1100,"A pliant tail covered in reverse scales that strikes like a whip, not a blade.",icon_carapace,10,0
1453,Gore Magala Lash,8,99,33000,3300,A black tail covered in sharp inverted scales that shred prey at a stroke.,icon_carapace,10,0
1454,Gore Magala Plate,5,99,50400,5040,Plating from the wing-limbs of the Gore Magala. Hunger and madness deepen the hue.,icon_scale,10,0
1455,Contrary Scale,9,99,156000,15600,A scale with a mix of white and black that seem to be trying to devour each other.,icon_scale,10,0
1456,Gore Magala Nyctgem,7,99,80000,8000,"A pure, dark jewel that imprisons and then destroys all nearby light.",icon_monster_jewel,10,0
1457,Gore Magala Mantle,9,99,120000,12000,A scale considered unfind- able. Equipment made with it yields superhuman power.,icon_mantle,10,0
1458,Gore Magala Feeler,4,99,12400,1240,The Gore Magala's versatile sensory organ and lifeline. It serves many purposes.,icon_fang,10,0
1459,Gore Magala Feeler+,6,99,21000,2100,A well-honed sensory organ that oozes violet melancholy from its infected tip.,icon_fang,10,0
1460,Gore Magala Sensor,8,99,63000,6300,A large horn that pulses purple -- an ill omen that made this a forbidden spoil.,icon_fang,10,0
1461,Diametrical Horn,8,99,81900,8190,A sensory organ full of golden fibers that squeaks eerily as it hardens.,icon_fang,10,0
1462,Defiled Scale,4,99,5600,560,A Frenzy-infested scale with patches of sickly color that make for a dangerous weapon.,icon_scale,10,0
1463,Chaos Scale,8,99,50300,5030,A shape-shifting scale whose jet-black cornified layer has turned a golden white.,icon_scale,10,0
1464,Hyper G.Magala Scale,6,99,15500,1550,"Darker than normal Gore Magala scales, this Hyper scale emits an ominous glow.",icon_scale,10,0
1465,Hyper G.Magala Scale X,8,99,46500,4650,"Darker than normal Gore Magala scales, this Hyper scale emits a steady, ominous glow.",icon_scale,10,0
1466,S.Magala Scale,4,99,7000,700,"A shining scale just shy of blinding white. Dignified, like an ancient dragon.",icon_scale,0,0
1467,S.Magala Scale+,6,99,16500,1650,A golden-white scale whose light stays with the eye through a thousand nights.,icon_scale,0,0
1468,S.Magala Shard,8,99,49500,4950,"An especially thick, white scale. Fully matured, it boasts wall-like resistance.",icon_scale,0,0
1469,S.Magala Shell,4,99,5500,550,A layered shell from which scratches seem to disappear before one's very eyes.,icon_shell,0,0
1470,S.Magala Carapace,6,99,15000,1500,Celestial armor the Shagaru Magala once wore: an impervious font of light.,icon_shell,0,0
1471,S.Magala Cortex,8,99,45000,4500,Impregnable armor. It is said humankind possesses no means of breaching it.,icon_shell,0,0
1472,S.Magala Prismwing,4,99,12700,1270,A newly grown wing whose seemingly airy membranes belie rock-like strength.,icon_carapace,0,0
1473,S.Magala Prismwing+,6,99,27300,2730,A wing that casts iridescent light in the sun. Thinner wings sell at higher prices.,icon_carapace,0,0
1474,S.Magala Lightwing,8,99,81900,8190,A divine wing that guides the living toward both prosperity and ruin.,icon_carapace,0,0
1475,S.Magala Caress,4,99,8800,880,A claw with a mystic shimmer that hardens with age. Used like a tree's growth rings.,icon_fang,0,0
1476,S.Magala Caress+,6,99,20500,2050,"A tender claw that hardens only in the face of danger, then kills softly.",icon_fang,0,0
1477,S.Magala Purifier,8,99,61500,6150,A Shagaru Magala claw in its hardest form. Proof of the beast's death and rebirth.,icon_fang,0,0
1478,S.Magala Tail,4,99,14300,1430,A white tail whose sheer muscularity is concealed by a coat of bristly scales.,icon_carapace,0,0
1479,S.Magala Lash,8,99,85800,8580,A strong tail with inverted scales. Its pure white color is proof of its fine quality.,icon_carapace,0,0
1480,S.Magala Plate,5,99,65500,6550,A back scale claimed only by hunters who stand beneath the beast's wings and survive.,icon_scale,0,0
1481,S.Magala Phosgem,7,99,100000,10000,A pure jewel of light that ignites the skies and eradicates all darkness.,icon_monster_jewel,0,0
1482,S.Magala Mantle,9,99,150000,15000,A white scale believed lost. It can be used to create gear with superhuman power.,icon_mantle,0,0
1483,S.Magala Horn,4,99,16000,1600,A hardened sensory organ. The Frenzy's madness is still locked inside.,icon_fang,0,0
1484,S.Magala Horn+,6,99,30000,3000,A heroic arch whose hues have been changed; even now the Frenzy pollutes it.,icon_fang,0,0
1485,S.Magala Hardhorn,8,99,90000,9000,A Shagaru Magala horn. These are said to withstand the test of time and never decay.,icon_fang,0,0
1486,Pure Scale,4,99,7200,720,A scale of forbidden white whose complete lack of impurities is truly rare.,icon_scale,0,0
1487,Rajang Horn+,6,99,32000,3200,The majestic golden horn of a Rajang. Hunters yearn for the heroism it represents.,icon_fang,4,0
1488,Rajang Hardhorn,8,99,80000,8000,"A large, majestic golden horn. All who see it feel the over- whelming bravery of its owner.",icon_fang,4,0
1489,Rajang Fang+,6,99,27000,2700,This sharpened fang can cut through anything dumb enough to touch it.,icon_fang,4,0
1490,Rajang Hardfang,8,99,67500,6750,A Rajang fang that cuts through anything. A prey's life vanishes in an instant once caught.,icon_fang,4,0
1491,Rajang Blackfur,6,99,22800,2280,"Black Rajang fur. When crafted, the resulting fabric is desired even by royalty.",icon_hide,10,0
1492,Rajang Wildpelt,8,99,57000,5700,"A wild set of fur from a Rajang. When forged, the jet-black fur causes the wearer to rage.",icon_hide,10,0
1493,Rajang Claw+,6,99,30000,3000,A sharp Rajang claw. Difficult to carve and more difficult to craft.,icon_fang,10,0
1494,Rajang Hardclaw,8,99,75000,7500,A hard Rajang claw that's taken a multitude of lives in a manner best left unsaid.,icon_fang,10,0
1495,Rajang Tail,6,99,45000,4500,The glistening tail of a Rajang. The golden fur is beautiful and elegant.,icon_carapace,4,0
1496,Gold Rajang Pelt,6,99,96000,9600,Fur taken from a Rajang's body. The golden hair is treasured by tailors.,icon_hide,4,0
1497,Gold Rajang Pelt+,8,99,150000,15000,A golden pelt that shimmers with the same furious power as a Rajang.,icon_hide,4,0
1498,Rajang Ragehair,6,99,34200,3420,Hair that hardens when a Rajang becomes furious. Armorsmiths line up for it.,icon_hide,4,0
1499,Rajang Apoplexy,8,99,85500,8550,"A long mane which still bristles with rage. The hairs are fine, but robust.",icon_hide,4,0
1500,Rajang Nerve,7,99,48000,4800,"The source of a Rajang's power, which continues its mystic pulsing after death.",icon_monster_jewel,4,0
1501,Rajang Heart,9,99,120000,12000,A symbol of flesh-searing rage that releases massive power with every beat.,icon_carapace,1,0
1502,Ghoulish Gold Horn,6,99,120000,12000,The golden horn of a furious Rajang. It seems almost too lovely to waste on equipment.,icon_fang,4,0
1503,Ghoulish Gold Gorer,8,99,300000,30000,A golden horn that seethes with rage even now. Not to be touched with bare hands.,icon_fang,4,0
1504,Hyper Rajang Fur,6,99,27300,2730,"Darker than normal Rajang fur, this Hyper scale emits an ominous glow.",icon_hide,4,0
1505,Hyper Rajang Fur X,8,99,81900,8190,"Darker than normal Rajang fur, this Hyper fur emits a steady, ominous glow.",icon_hide,4,0
1506,Deviljho Scale,6,99,21000,2100,"A greenish-black Deviljho scale. It's not often sold, as rumors claim it brings misfortune.",icon_scale,13,0
1507,Deviljho Shard,8,99,63000,6300,"A heavy, high-quality Deviljho scale. Rumored to be bad luck, but is excellent material.",icon_scale,13,0
1508,Deviljho Crook,9,99,150000,15000,An unsettling scale that became warped as it absorbed the hate of the Deviljho's various prey.,icon_mantle,13,0
1509,Deviljho Hide,6,99,28000,2800,Black hide that is oddly slimy and difficult to forge with.,icon_hide,13,0
1510,Deviljho Blackpiel,8,99,54000,5400,Thick hide taken from a violent Deviljho. Especially slimy and difficult to forge with.,icon_hide,13,0
1511,Bloodied Ebonhide,8,99,104100,10410,A hide bloodied and battered from ceaseless hunts that give it no time to dry.,icon_hide,10,0
1512,Deviljho Tallfang,6,99,29800,2980,A large fang from a maw of alarming size. Helps the vile beast sate its hunger.,icon_fang,13,0
1513,Deviljho Hardfang,8,99,89400,8940,"A massive fang that tears, crushes, and grinds prey without mercy.",icon_fang,13,0
1514,Vile Fang,8,99,89400,8940,"A massive, overgrown fang that can chomp through anything. Filled with pure evil.",icon_fang,13,0
1515,Deviljho Talon,6,99,26000,2600,"A dangerously sharp, hooked talon. Inexperienced crafters risk serious injury.",icon_fang,13,0
1516,Deviljho Ripper,8,99,63000,6300,"An incredibly sharp, rigid talon. Even experienced handlers can be injured if not careful.",icon_fang,13,0
1517,Deviljho Scalp,6,99,38000,3800,Removing this part of a Deviljho's skull releases an unimaginably putrid odor.,icon_carapace,13,0
1518,Deviljho Tail,6,99,40000,4000,A massive tail resembling a giant leech. Some folks are out to collect these exclusively.,icon_carapace,13,0
1519,Deviljho Flail,8,99,92000,9200,A large slab of a Deviljho's leech-like tail. Even so-called experts are shocked by it.,icon_carapace,13,0
1520,Deviljho Saliva,6,99,17000,1700,The symbol of a Deviljho's insatiable appetite. The strong acid corrodes all it touches.,icon_liquid,13,0
1521,Black Blood,6,99,51000,5100,Dark black blood characteristic of a Deviljho. It feels like it may jump up and attack at any time.,icon_liquid,1,0
1522,Spattered Hide,6,99,54000,5400,"A jet black hide with a slimy, tar-like sheen: dried blood spatter, some insist.",icon_hide,10,0
1523,Deviljho Gem,7,99,97000,9700,A precious gem said to contain a Deviljho's might. Used in shady rituals.,icon_monster_jewel,13,0
1524,Hyper Deviljho Scale,6,99,25200,2520,"Darker than normal Deviljho scales, this Hyper scale emits an ominous glow.",icon_scale,13,0
1525,Hyper Deviljho Scale X,8,99,75600,7560,"Darker than normal Deviljho scales, this Hyper scale emits a steady, ominous glow.",icon_scale,13,0
1526,Kirin Thunderhorn,4,99,18000,1800,"The horn of Kirin, as powerful as a lightning bolt. Exquisite material.",icon_fang,0,0
1527,Kirin Hide,4,99,6800,680,"A rare and lovely hide, but difficult to carve loose and dangerous to handle.",icon_hide,0,0
1528,Kirin Hide+,6,99,21000,2100,A rare and lovely hide. This one is undamaged: proof of its former owner's strength.,icon_hide,0,0
1529,Kirin Finehide,8,99,97500,9750,Beautiful Kirin hide that hunters can only fantasize of obtaining.,icon_hide,0,0
1530,Kirin Mane,4,99,25000,2500,"A rare, dashing mane that retains its dignity even after being cut free.",icon_carapace,0,0
1531,Platinum Mane,8,99,156200,15620,Kirin mane that sparkles like platinum. It shimmers when kissed by the wind. Priceless.,icon_carapace,0,0
1532,Kirin Thundertail,6,99,40000,4000,"A rare tail, overflowing with elegance, charged with electricity.",icon_carapace,0,0
1533,Kirin Thunderlash,8,99,100000,10000,The highly rare tail of Kirin. The electricity stored within causes it to glimmer.,icon_carapace,0,0
1534,Kirin Azure Horn,6,99,54000,5400,"An azure horn, rare even among Kirin Horns. Gives off a divine light.",icon_fang,3,0
1535,Kirin Azure Peak,8,99,135000,13500,A dangerous horn containing the charge of the thousand bolts that struck it.,icon_fang,3,0
1536,Daora Shell,4,99,13000,1300,The shining silver Kushala Daora shell is solid and highly useful.,icon_shell,10,0
1537,Daora Carapace,6,99,39000,3900,A shell hardened by time. Crafting it is incredibly difficult.,icon_shell,10,0
1538,Daora Cortex,8,99,78000,7800,The repeated molting of skin has made this shell near impregnable.,icon_shell,10,0
1539,Daora Scale,4,99,8000,800,A scale that glows a dull silver. Hard enough to serve as an abrasive for weapons.,icon_scale,10,0
1540,Daora Dragon Scale+,6,99,20000,2000,High-quality scale from Kushala Daora. It is said to surpass steel.,icon_scale,10,0
1541,Daora Shard,8,99,97500,9750,A thick scale from Kushala Daora. The winters have made it strong and cold to the touch.,icon_scale,10,0
1542,Daora Webbing,4,99,18000,1800,Hard to craft but highly compatible with metals. Valued for its light weight.,icon_webbing,10,0
1543,Daora Fellwing,8,99,160000,16000,"A curious wing that's strong as steel, but soft to the touch. Highly sought after material.",icon_carapace,10,0
1544,Daora Horn,4,99,24500,2450,The gallant horn of Daora. Using it requires extra- ordinary experience.,icon_fang,10,0
1545,Daora Hardhorn,8,99,180000,18000,"A hard, ferocious horn that engulfs everything in a freezing wind on impact.",icon_fang,10,0
1546,Daora Horn+,6,99,90000,9000,A fierce-looking horn that instantly robs the body of cold if handled improperly.,icon_fang,10,0
1547,Daora Tail,4,99,22500,2250,Cut from Kushala Daora. Incredibly destructive power contained within.,icon_carapace,10,0
1548,Daora Lash,8,99,175000,17500,"The durable tail of Kushala Daora. As strong as any storm, but flexible as well.",icon_carapace,10,0
1549,Daora Claw,4,99,21000,2100,"Kushala Daora's claw. As hard as ore, it cannot be used by ordinary crafters.",icon_fang,10,0
1550,Daora Claw+,6,99,63000,6300,Even now the black gleam of this claw seems to emit a life force.,icon_fang,10,0
1551,Daora Hardclaw,8,99,137500,13750,A robust claw one might mistake for steel. Enhances equipment capabilities.,icon_fang,10,0
1552,Daora Gem,7,99,120000,12000,A rare gem formed inside a Daora. Its glow is breathtaking.,icon_monster_jewel,10,0
1553,Lrg Elder Dragon Gem,9,99,180000,18000,"A giant, ultra-rare stone that forms inside an Elder Dragon once in a millennium.",icon_monster_jewel,5,0
1554,Chameleos Hide,4,99,12500,1250,"This hide is so strange to the touch, you'll want to rub it all over your face.",icon_hide,5,0
1555,Chameleos Hide+,6,99,37500,3750,"Superior hide of Chameleos. Strange to the touch, but very durable.",icon_hide,5,0
1556,Chameleos Finehide,8,99,95000,9500,Top-grade Chameleos hide. Its strange texture calms the soul of those who touch it.,icon_hide,5,0
1557,Chameleos Horn,4,99,26800,2680,Faintly glows with a white light. Great for interior decorating.,icon_fang,5,0
1558,Chameleos Spike,6,99,80400,8040,"A sharp horn of a Chameleos. Strong and hard, but strangely easy to work with.",icon_fang,5,0
1559,Chameleos Hardhorn,8,99,222500,22250,A super-hard horn that refracts light. A highly sought commodity.,icon_fang,5,0
1560,Chameleos Claw,4,99,28000,2800,"Thin, yet incredibly strong and very easy to work with during crafting.",icon_fang,5,0
1561,Chameleos Claw+,6,99,84000,8400,"Sharpened claw of a Chameleos. Small and sharp, but still valued for being easy to work with.",icon_fang,5,0
1562,Chameleos Hardclaw,8,99,235200,23520,A tough Chameleos claw. Its slender sharpness and strength make it an exceptional weapon.,icon_fang,5,0
1563,Chameleos Webbing,4,99,17600,1760,"Thin, light wing webbing. The inner part of the webbing is highly durable.",icon_webbing,5,0
1564,Chameleos Fellwing,8,99,146200,14620,"A top-grade Chameleos wing. The strong, firm frame makes it invaluable as material.",icon_carapace,5,0
1565,Chameleos Tail,4,99,38000,3800,The distinctive tail of Chameleos. Feels very strange.,icon_carapace,5,0
1566,Chameleos Lash,8,99,176200,17620,"The tough, hard tail of Chameleos. The unique texture makes for excellent material.",icon_carapace,5,0
1567,Chameleos Gem,7,99,100000,10000,A rare gem formed inside Chameleos. It has a multi-colored glow.,icon_monster_jewel,5,0
1568,Teostra Shell,4,99,18000,1800,The red hot shell of Teostra. It proves its domain over all fire.,icon_shell,1,0
1569,Teostra Carapace,6,99,45000,4500,Harder than Teostra Shell. Looks like red-hot steel; particularly eye catching.,icon_shell,1,0
1570,Teostra Cortex,8,99,90000,9000,Merely looking upon this heavy shell is enough to shatter the hearts of hardened warriors.,icon_shell,1,0
1571,Teostra Mane,4,99,19000,1900,This majestic mane is a sure sign of Teostra's regality.,icon_carapace,1,0
1572,Teostra Tail,4,99,25000,2500,"Covered in red scales, the tree like tail of Teostra is incredibly hard to cut.",icon_carapace,1,0
1573,Teostra Lash,8,99,177500,17750,The stone-hard tail of Teostra. A lash from this tail unleashes unimaginable explosions.,icon_carapace,1,0
1574,Teostra Horn,4,99,20000,2000,A horn that displays the power of Teostra. Hunters wither before its might.,icon_fang,1,0
1575,Teostra Horn+,6,99,60000,6000,A sharp horn that burns with the fury of Teostra. It is tinged with fire.,icon_fang,1,0
1576,Teostra Hardhorn,8,99,220000,22000,A majestic horn that commands all who gaze upon it to bend the knee.,icon_fang,1,0
1577,Fire Dragon Scale,4,99,10500,1050,A scalding hot scale. It'll take your fingerprints right off.,icon_scale,1,0
1578,Fire Dragon Scale+,6,99,21000,2100,A scale from a majestic fire dragon. It burns with hot fire from within.,icon_scale,1,0
1579,Flame Shard,8,99,92500,9250,The highest quality scale from Teostra. Hunters can only dream of finding one.,icon_scale,1,0
1580,Fire Dragon Claw,4,99,12000,1200,"A sharp, glowing Fire Dragon claw. Hard even for experts to craft.",icon_fang,1,0
1581,Teostra Claw+,6,99,53000,5300,A death sentence to he who tries to elude the dragon's flames. Still feels hot.,icon_fang,1,0
1582,Fire Dragon Hardclaw,8,99,132500,13250,"A hard, fiery Teostra claw. It causes anything it scratches to burst into flames.",icon_fang,1,0
